Country,Lig,home_team,away_team,home_score,away_score,season_year,Date_day,Date_hour,first_half,second_half,home_team_goals,away_team_goals,home_team_substitutions,away_team_substitutions,home_team_yellow_card,away_team_yellow_card,home_team_red_card,away_team_red_card,referee,venue,capacity,attendance
Spain,laliga,Betis,Real Madrid,3,5,2017/2018,18.02,22:45,2 - 1,1 - 4,"[""33' 1 - 1 Mandi A. (Joaquin)"", ""37' 2 - 1 Fernandez N. (Own goal)"", ""85' 3 - 4 Leon S. (Firpo J.)""]","[""11' 0 - 1 Asensio M."", ""50' 2 - 2 Ramos S. (Lucas)"", ""59' 2 - 3 Asensio M. (Carvajal D.)"", ""65' 2 - 4 Ronaldo C. (Casemiro)"", ""90+2' 3 - 5 Benzema K. (Lucas)""]","[""75' Garcia J. Amat J."", ""81' Leon S. Guardado A."", ""81' Tello C. Boudebouz R.""]","[""30' Hernandez T. Marcelo"", ""73' Isco Bale G."", ""89' Benzema K. Ronaldo C.""]","[""44' Barragan A. (Tripping)"", ""49' Firpo J. (Tripping)"", ""61' Moron L. (Roughing)""]",[],[],[],Gil Manzano J.  (Esp),Estadio Benito Villamarín  (Sevilla),60 721,53 486
Spain,laliga,Espanyol,Villarreal,1,1,2017/2018,18.02,20:30,0 - 1,1 - 0,"[""85' 1 - 1 Granero E.""]","[""25' 0 - 1 Rodri""]","[""46' Navarro M. Darder S."", ""67' Piatti P. Naldo""]","[""72' Bacca C. Cheryshev D."", ""83' Soriano R. Unal E."", ""88' Trigueros M. Fornals P.""]","[""35' Garcia S. (Foul)""]",[],[],[],Munuera Montero J.  (Esp),RCDE Stadium  (Cornella de Llobregat),40 000,19 688
Spain,laliga,Atl. Madrid,Ath Bilbao,2,0,2017/2018,18.02,18:15,0 - 0,2 - 0,"[""67' 1 - 0 Gameiro K. (Griezmann A.)"", ""80' 2 - 0 Costa D. (Gameiro K.)""]",[],"[""46' Godin D. Hernandez L."", ""59' Gameiro K. Koke"", ""70' Gabi Correa A.""]","[""65' Iturraspe A. Benat"", ""68' de Marcos O. Sabin"", ""72' Cordoba I. Saborit E.""]","[""17' Correa A. (Tripping)"", ""36' Costa D. (Unsportsmanlike conduct)"", ""62' Filipe Luis (Foul)""]",[],[],[],Gonzalez G.  (Esp),Metropolitano Stadium  (Madrid),70 460,60 022
Spain,laliga,Real Sociedad,Levante,3,0,2017/2018,18.02,14:00,2 - 0,1 - 0,"[""10' 1 - 0 Prieto X. (Penalty)"", ""38' 2 - 0 Juanmi (Canales S.)"", ""55' 3 - 0 Canales S. (Oyarzabal M.)""]",[],"[""13' Canales S. Prieto X."", ""68' Zubeldia I. Oyarzabal M."", ""81' Gorosabel A. Odriozola A.""]","[""46' Marti R. Lukic S."", ""55' Rochina R. Coke"", ""59' Boateng E. Pazzini G.""]",[],[],[],[],Latre S.  (Esp),Reale Arena  (San Sebastian),40 000,18 173
Spain,laliga,Malaga,Valencia,1,2,2017/2018,17.02,22:45,1 - 0,0 - 2,"[""27' 1 - 0 Ideye B. (Recio)""]","[""80' 1 - 1 Coquelin F. (Parejo D.)"", ""85' 1 - 2 Parejo D. (Penalty)""]","[""68' Keko Lestienne M."", ""73' Lacen M. Recio"", ""83' Rolan D. Castro Irizábal G.""]","[""60' Rodrigo Vietto L."", ""61' Zaza S. Mina S."", ""80' Torres F. Soler C.""]","[""62' Iturra M. (Tripping)"", ""75' Castro Irizábal G. (Holding)""]",[],"[""84' Miquel I. (Holding)""]",[],Trujillo Suarez D.  (Esp),Estadio La Rosaleda  (Málaga),30 044,21 134
Spain,laliga,Alaves,Dep. La Coruna,1,0,2017/2018,17.02,20:30,0 - 0,1 - 0,"[""61' 1 - 0 Munir El Haddadi (Pedraza A.)""]",[],"[""72' Sobrino R. Guidetti J."", ""82' Hernan Perez Ibai"", ""87' Medran A. Munir El Haddadi""]","[""64' Mosquera P. Krohn-Dehli M."", ""74' Cartabia F. Bakkali Z."", ""81' Borges C. Boveda E.""]","[""87' Munir El Haddadi (Delay of game)"", ""90+3' Sobrino R. (Unsportsmanlike conduct)""]",[],[],[],Lopez M.  (Esp),Estadio Mendizorrotza  (Vitoria-Gasteiz),19 840,19 453
Italy,serie-a,Reggina,Verona,2,1,2000/2001,24.06,19:00,1 - 1,1 - 0,[],[],[],[],[],[],[],[],,,,
Italy,serie-a,Verona,Reggina,1,0,2000/2001,21.06,19:00,0 - 0,1 - 0,[],[],[],[],[],[],[],[],,,,
Italy,serie-a,AS Roma,Parma,3,1,2000/2001,17.06,16:00,2 - 0,1 - 1,[],[],[],[],[],[],[],[],,Stadio Olimpico  (Rome),70 634,
Italy,serie-a,Reggina,Verona,2,1,2000/2001,24.06,19:00,1 - 1,1 - 0,[],[],[],[],[],[],[],[],,,,
