,Country,League
533,India,Santosh Trophy
534,India,Durand Cup
535,India,Kalinga Super Cup
536,India,IWL Women
537,Indonesia,Liga 1
538,Indonesia,Liga 2
539,Indonesia,President Cup
540,Indonesia,Piala Indonesia
541,Indonesia,Menpora Cup
542,Iran,Persian Gulf Pro League
543,Iran,Azadegan League
544,Iran,Hazfi Cup
545,Iran,Super Cup
546,Iraq,Stars League
547,Iraq,Iraq Cup
548,Ireland,Premier Division
549,Ireland,Division 1
550,Ireland,FAI Cup
551,Ireland,League Cup
552,Ireland,Super Cup
553,Ireland,National League Women
554,Ireland,FAI Cup Women
555,Israel,Ligat ha'Al
556,Israel,Leumit League
557,Israel,Liga Alef North
558,Israel,Liga Alef South
559,Israel,Liga Alef - Promotion Play Offs
560,Israel,Liga Alef - Relegation
561,Israel,State Cup
562,Israel,Toto Cup
563,Israel,Super Cup
564,Italy,Serie A
565,Italy,Serie B
566,Italy,Serie C - Group A
567,Italy,Serie C - Group B
568,Italy,Serie C - Group C
569,Italy,Serie C - Promotion - Play Offs
570,Italy,Serie C - Play Out
571,Italy,Serie D - Group A
572,Italy,Serie D - Group B
573,Italy,Serie D - Group C
574,Italy,Serie D - Group D
575,Italy,Serie D - Group E
576,Italy,Serie D - Group F
577,Italy,Serie D - Group G
578,Italy,Serie D - Group H
579,Italy,Serie D - Group I
580,Italy,Serie D - Play Offs
581,Italy,Serie D - Winners stage
582,Italy,Coppa Italia
583,Italy,Coppa Italia Serie C
584,Italy,Coppa Italia Serie D
585,Italy,Super Cup
586,Italy,Super Cup (Serie C)
587,Italy,Primavera 1
588,Italy,Primavera 2
589,Italy,Coppa Italia Primavera
590,Italy,Supercoppa Primavera
591,Italy,Serie A Women
592,Italy,Serie B Women
593,Italy,Coppa Italia Women
594,Italy,Super Cup Women
595,Ivory Coast,Ligue 1
596,Jamaica,Premier League
597,Japan,J1 League
598,Japan,J2 League
599,Japan,J3 League
600,Japan,YBC Levain Cup
601,Japan,Emperors Cup
602,Japan,Super Cup
603,Japan,J Youth Cup
604,Japan,WE League Women
605,Japan,Nadeshiko League Women
606,Japan,WE League Cup Women
607,Japan,Empress's Cup Women
608,Jordan,Premier League
609,Jordan,Jordan Cup
610,Jordan,Shield Cup
611,Jordan,Super Cup
612,Kazakhstan,Premier League
613,Kazakhstan,First Division
614,Kazakhstan,Kazakhstan Cup
615,Kazakhstan,League Cup
616,Kazakhstan,Super Cup
617,Kazakhstan,QFL League Women
618,Kenya,Premier League
619,Kenya,Super League
620,Kenya,FKF Cup
621,Kenya,FKF Charity Shield
622,Kosovo,Superliga
623,Kosovo,Liga e Pare
624,Kosovo,Kosovar Cup
625,Kosovo,Super Cup
626,Kuwait,Premier League
627,Kuwait,Division 1
628,Kuwait,Crown Prince Cup
629,Kuwait,Emir Cup
630,Kuwait,Super Cup
631,Kyrgyzstan,Premier Liga
632,Laos,Lao League
633,Latvia,Virsliga
634,Latvia,1. Liga
635,Latvia,Latvian Cup
636,Latvia,League Cup
637,Latvia,Super Cup
638,Latvia,1. Liga Women
639,Lebanon,Premier League
640,Lebanon,Lebanese Cup
641,Lebanon,Federation Cup
642,Lebanon,Super Cup
643,Lesotho,Premier League
644,Liberia,LFA First Division
645,Libya,Premier League
646,Liechtenstein,Liechtenstein Cup
647,Lithuania,A Lyga
648,Lithuania,I Lyga
649,Lithuania,Lithuanian Cup
650,Lithuania,Super Cup
651,Luxembourg,BGL Ligue
